NAME                           MEMORY  CPU
askphi-chatbot                 512Mi   1
dominion-ai-gateway            2Gi     2
dominion-bims                  2Gi     2
dominion-crm                   1Gi     1
dominion-f5-gateway            512Mi   1000m
dominion-monitoring-dashboard  1Gi     2
dominion-os-1-0                512Mi   1000m
dominion-os-api                512Mi   1000m
dominion-os-demo               512Mi   1000m
dominion-phi-ui                1Gi     1
dominion-relationships         1Gi     1
dominion-revenue-automation    1Gi     1
dominion-security-framework    1Gi     1
phi-askphi-widget              512Mi   1
phi-oauth-server               1Gi     1
phi-postgresql                 512Mi   1
phi-redis                      256Mi   1
