NAME                       MEMORY  CPU
api                        1Gi     1
chatgpt-gateway            512Mi   1000m
demo                       1Gi     1
dominion-ai-gateway        1Gi     2
dominion-api               512Mi   1000m
dominion-chief-of-staff    512Mi   1000m
dominion-demo              512Mi   1000m
dominion-demo-service      4Gi     2
dominion-gateway           512Mi   1000m
dominion-os                512Mi   1
dominion-os-1-0-101        1Gi     1
dominion-os-demo           512Mi   1000m
dominion-phi-ui            512Mi   1000m
phi-askphi-widget          512Mi   1
phi-expenditure-dashboard  2Gi     2
phi-oauth-server           1Gi     1
pipeline                   1Gi     1
