NAME                           URL
askphi-chatbot                 https://askphi-chatbot-66ymegzkya-uc.a.run.app
dominion-ai-gateway            https://dominion-ai-gateway-66ymegzkya-uc.a.run.app
dominion-bims                  https://dominion-bims-66ymegzkya-uc.a.run.app
dominion-crm                   https://dominion-crm-66ymegzkya-uc.a.run.app
dominion-f5-gateway            https://dominion-f5-gateway-66ymegzkya-uc.a.run.app
dominion-monitoring-dashboard  https://dominion-monitoring-dashboard-66ymegzkya-uc.a.run.app
dominion-os-1-0                https://dominion-os-1-0-66ymegzkya-uc.a.run.app
dominion-os-api                https://dominion-os-api-66ymegzkya-uc.a.run.app
dominion-os-demo               https://dominion-os-demo-66ymegzkya-uc.a.run.app
dominion-phi-ui                https://dominion-phi-ui-66ymegzkya-uc.a.run.app
dominion-relationships         https://dominion-relationships-66ymegzkya-uc.a.run.app
dominion-revenue-automation    https://dominion-revenue-automation-66ymegzkya-uc.a.run.app
dominion-security-framework    https://dominion-security-framework-66ymegzkya-uc.a.run.app
phi-askphi-widget              https://phi-askphi-widget-66ymegzkya-uc.a.run.app
phi-oauth-server               https://phi-oauth-server-66ymegzkya-uc.a.run.app
phi-postgresql                 https://phi-postgresql-66ymegzkya-uc.a.run.app
phi-redis                      https://phi-redis-66ymegzkya-uc.a.run.app
