NAME                       URL
api                        https://api-reduwyf2ra-uc.a.run.app
chatgpt-gateway            https://chatgpt-gateway-reduwyf2ra-uc.a.run.app
demo                       https://demo-reduwyf2ra-uc.a.run.app
dominion-ai-gateway        https://dominion-ai-gateway-reduwyf2ra-uc.a.run.app
dominion-api               https://dominion-api-reduwyf2ra-uc.a.run.app
dominion-chief-of-staff    https://dominion-chief-of-staff-reduwyf2ra-uc.a.run.app
dominion-demo              https://dominion-demo-reduwyf2ra-uc.a.run.app
dominion-demo-service      https://dominion-demo-service-reduwyf2ra-uc.a.run.app
dominion-gateway           https://dominion-gateway-reduwyf2ra-uc.a.run.app
dominion-os                https://dominion-os-reduwyf2ra-uc.a.run.app
dominion-os-1-0-101        https://dominion-os-1-0-101-reduwyf2ra-uc.a.run.app
dominion-os-demo           https://dominion-os-demo-reduwyf2ra-uc.a.run.app
dominion-phi-ui            https://dominion-phi-ui-reduwyf2ra-uc.a.run.app
phi-askphi-widget          https://phi-askphi-widget-reduwyf2ra-uc.a.run.app
phi-expenditure-dashboard  https://phi-expenditure-dashboard-reduwyf2ra-uc.a.run.app
phi-oauth-server           https://phi-oauth-server-reduwyf2ra-uc.a.run.app
pipeline                   https://pipeline-reduwyf2ra-uc.a.run.app
